rank,company,website,careers_url,industry,size,stage,recent_funding,tech_signals,open_positions,last_checked,notes,role_family,source,location_detected,validation_status,exclusion_reason,llm_score,llm_rationale,llm_flags,llm_hard_pass,llm_hard_pass_reason,llm_evaluated_at
1,Acme AI Finance,https://acme.example.com,https://acme.example.com/careers,AI/Finance,50-200,Series B,Series B $45M (2025),LLM product; API-first,AI Product Manager; Senior Engineer,,,AI PM,web_prospecting,San Francisco CA,pass,,92,Deep AI integration in core accounting workflows; Domain background directly relevant,,,,2026-01-15
2,NovaPE Software,https://novape.example.com,https://novape.example.com/careers,Industry Software,200-500,Series C,Series C $80M (2024),Fund accounting platform; ML-driven NAV,Product Lead; Solutions Architect,,,Product,monitor_watchlist,New York NY,pass,,85,Building next-gen domain operations tools; values practitioner background,,,,2026-01-20
3,Granite Capital,https://granite.example.com,https://granite.example.com/careers,Private Equity,500+,Established,N/A,AI operating group; portfolio transformation,AI Operating Partner,,,Operations,web_prospecting,Chicago IL,pass,,78,Active AI transformation of portfolio F&A functions,,,,2026-02-01
4,MegaCorp Finance,https://megacorp.example.com,https://megacorp.example.com/careers,Enterprise,10000+,Public,N/A,Internal AI lab; automation initiative,Finance AI Lead; Controller,,,Finance,jobspy,Remote,pass,,70,Internal automation push but slow adoption pace,,,,2026-02-10
5,Lighthouse Advisory,https://lighthouse.example.com,https://lighthouse.example.com/careers,Professional Services,1000-5000,Established,N/A,AI practice launch; audit automation,AI Advisory Manager,,,Advisory,web_prospecting,Multiple,pass,,65,Building AI practice; Enterprise experience valued but comp ceiling,,,,2026-02-15
6,DataLedger Inc,https://dataledger.example.com,https://dataledger.example.com/careers,Enterprise Finance Software,200-500,Series B,Series B $30M (2025),AI-powered close management,Product Manager; Customer Success,,,PM,jobspy,Austin TX,pass,,75,AI close management with strong PMF; domain expert welcome,,,,2026-02-20
7,ApexFund Services,https://apexfund.example.com,https://apexfund.example.com/careers,domain operationsistration,1000+,Established,N/A,Modernizing legacy platform with AI,Solutions Lead; Fund Ops Manager,,,Solutions,monitor_watchlist,Boston MA,pass,,62,Modernizing legacy stack; practitioner experience valuable,,,,2026-03-01
8,Frontier AI Labs,https://frontier.example.com,https://frontier.example.com/careers,AI Research/Products,100-500,Series C,Series C $200M (2025),Foundation models; applied AI,Applied AI PM; Finance Domain Lead,,,AI PM,web_prospecting,San Francisco CA,pass,,95,Top-tier AI lab actively seeking domain experts; rare technical+domain combo,,,,2026-03-05
9,QuickBooks AI,https://quickbooks-ai.example.com,https://quickbooks-ai.example.com/careers,AI/Finance,20-50,Seed,Seed $5M (2025),GPT-powered bookkeeping,Founding PM,,,PM,jobspy,Remote,watch,,55,Interesting concept but very early; comp may be equity-heavy,,,,2026-03-10
10,OldGuard Consulting,https://oldguard.example.com,https://oldguard.example.com/careers,Professional Services,5000+,Established,N/A,Minimal AI adoption,Senior Consultant,,,Consulting,web_prospecting,Multiple,watch,,38,Traditional firm with limited AI investment; likely comp ceiling,,,,
